imageName,annotated,cards_counted,total_cards,videoId,upper_left_face_visible,upper_left_face_x,upper_left_face_y,upper_right_face_visible,upper_right_face_x,upper_right_face_y,upper_left_back_visible,upper_left_back_x,upper_left_back_y,upper_right_back_visible,upper_right_back_x,upper_right_back_y,lower_left_face_visible,lower_left_face_x,lower_left_face_y,lower_right_face_visible,lower_right_face_x,lower_right_face_y,lower_left_back_visible,lower_left_back_x,lower_left_back_y,lower_right_back_visible,lower_right_back_x,lower_right_back_y,mask
MAQ01036_frame_0.jpg,1,52,52,1,1,0.5125,0.285938,0,0.0,0.0,1,0.4375,0.289062,1,0.272917,0.434375,1,0.704167,0.651563,1,0.5,0.745313,1,0.620833,0.670312,1,0.429167,0.7625,MAQ01036_frame_0_mask.jpg
MAQ01036_frame_20.jpg,1,52,52,1,1,0.504167,0.31406300000000004,0,0.0,0.0,1,0.433333,0.315625,1,0.258333,0.448437,1,0.675,0.684375,1,0.472917,0.765625,1,0.59375,0.70625,1,0.397917,0.782813,MAQ01036_frame_20_mask.jpg
MAQ01036_frame_40.jpg,1,52,52,1,1,0.529167,0.223438,0,0.0,0.0,1,0.458333,0.221875,1,0.28541700000000003,0.389062,1,0.745833,0.578125,1,0.527083,0.703125,1,0.664583,0.598437,1,0.45625,0.717187,MAQ01036_frame_40_mask.jpg
MAQ01036_frame_60.jpg,1,52,52,1,1,0.46875,0.2125,0,0.0,0.0,1,0.395833,0.210938,1,0.26875,0.434375,1,0.764583,0.476562,1,0.58125,0.7,1,0.677083,0.489063,1,0.502083,0.717187,MAQ01036_frame_60_mask.jpg
MAQ01036_frame_80.jpg,1,52,52,1,1,0.395833,0.28281300000000004,0,0.0,0.0,1,0.325,0.284375,1,0.266667,0.535937,1,0.722917,0.396875,1,0.6375,0.7,1,0.63125,0.395313,1,0.558333,0.720313,MAQ01036_frame_80_mask.jpg
MAQ01036_frame_100.jpg,1,52,52,1,0,0.0,0.0,0,0.0,0.0,1,0.320833,0.410938,1,0.352083,0.667188,1,0.69375,0.342187,1,0.7625,0.679688,1,0.604167,0.342187,1,0.68125,0.701562,MAQ01036_frame_100_mask.jpg
MAQ01036_frame_120.jpg,1,52,52,1,0,0.0,0.0,1,0.40625,0.654687,1,0.264583,0.410938,1,0.320833,0.65625,1,0.58125,0.21875,1,0.704167,0.529687,1,0.483333,0.20625,1,0.610417,0.532813,MAQ01036_frame_120_mask.jpg
MAQ01036_frame_140.jpg,1,52,52,1,0,0.0,0.0,1,0.46875,0.770312,1,0.291667,0.526563,1,0.375,0.776563,1,0.579167,0.246875,1,0.76875,0.509375,1,0.475,0.229687,1,0.666667,0.504687,MAQ01036_frame_140_mask.jpg
MAQ01036_frame_160.jpg,1,52,52,1,0,0.0,0.0,1,0.404167,0.717187,1,0.233333,0.478125,1,0.302083,0.71875,1,0.51875,0.1625,1,0.697917,0.4,1,0.410417,0.1375,1,0.5875,0.385937,MAQ01036_frame_160_mask.jpg
MAQ01036_frame_180.jpg,1,52,52,1,0,0.0,0.0,1,0.44375,0.759375,1,0.2625,0.509375,1,0.341667,0.760938,1,0.55625,0.192188,1,0.754167,0.448437,1,0.45,0.17031300000000002,1,0.6375,0.442188,MAQ01036_frame_180_mask.jpg
MAQ01037_frame_0.jpg,1,51,52,2,1,0.466667,0.171875,0,0.0,0.0,1,0.3625,0.178125,1,0.17083299999999998,0.384375,1,0.73125,0.570312,1,0.48125,0.71875,1,0.629167,0.5875,1,0.385417,0.742188,MAQ01037_frame_0_mask.jpg
MAQ01037_frame_20.jpg,1,51,52,2,1,0.51875,0.184375,0,0.0,0.0,1,0.379167,0.1875,1,0.158333,0.365625,1,0.704167,0.725,0,0.0,0.0,1,0.58125,0.7375,1,0.3125,0.803125,MAQ01037_frame_20_mask.jpg
MAQ01037_frame_40.jpg,1,51,52,2,1,0.570833,0.129688,0,0.0,0.0,1,0.422917,0.134375,1,0.191667,0.321875,1,0.76875,0.734375,0,0.0,0.0,1,0.622917,0.759375,1,0.345833,0.789062,MAQ01037_frame_40_mask.jpg
MAQ01037_frame_60.jpg,1,51,52,2,1,0.547917,0.1625,0,0.0,0.0,1,0.4375,0.165625,1,0.23125,0.382812,1,0.8375,0.565625,1,0.547917,0.723437,1,0.73125,0.58125,1,0.460417,0.75,MAQ01037_frame_60_mask.jpg
MAQ01037_frame_80.jpg,1,51,52,2,1,0.36875,0.214062,0,0.0,0.0,1,0.275,0.223438,1,0.135417,0.46875,1,0.722917,0.460938,1,0.514583,0.717187,1,0.633333,0.471875,1,0.43125,0.745313,MAQ01037_frame_80_mask.jpg
MAQ01037_frame_100.jpg,1,51,52,2,1,0.422917,0.23125,0,0.0,0.0,1,0.341667,0.24375,1,0.247917,0.49375,1,0.7875,0.370312,1,0.64375,0.659375,1,0.7,0.376563,1,0.575,0.682813,MAQ01037_frame_100_mask.jpg
MAQ01037_frame_120.jpg,1,51,52,2,1,0.366667,0.2875,0,0.0,0.0,1,0.283333,0.310937,1,0.272917,0.56875,1,0.710417,0.289062,1,0.697917,0.610938,1,0.629167,0.29843800000000004,1,0.625,0.640625,MAQ01037_frame_120_mask.jpg
MAQ01037_frame_140.jpg,1,51,52,2,0,0.0,0.0,0,0.0,0.0,1,0.252083,0.321875,1,0.295833,0.584375,1,0.629167,0.164062,1,0.714583,0.507812,1,0.539583,0.175,1,0.635417,0.529687,MAQ01037_frame_140_mask.jpg
MAQ01037_frame_160.jpg,1,51,52,2,0,0.0,0.0,0,0.0,0.0,1,0.227083,0.328125,1,0.31875,0.610938,1,0.59375,0.029687,1,0.770833,0.40625,1,0.485417,0.0375,1,0.670833,0.43125,MAQ01037_frame_160_mask.jpg
MAQ01037_frame_180.jpg,1,51,52,2,0,0.0,0.0,1,0.335417,0.760938,1,0.195833,0.479687,1,0.304167,0.765625,1,0.50625,0.15781199999999998,1,0.727083,0.520312,1,0.389583,0.171875,1,0.614583,0.553125,MAQ01037_frame_180_mask.jpg
MAQ01037_frame_200.jpg,1,51,52,2,0,0.0,0.0,1,0.379167,0.632812,1,0.185417,0.417187,1,0.29375,0.664062,1,0.452083,0.064062,1,0.654167,0.346875,1,0.3375,0.067187,1,0.541667,0.357812,MAQ01037_frame_200_mask.jpg
MAQ01037_frame_220.jpg,1,51,52,2,0,0.0,0.0,1,0.397917,0.585938,1,0.17083299999999998,0.373437,1,0.310417,0.620313,0,0.0,0.0,1,0.710417,0.234375,0,0.0,0.0,1,0.6125,0.240625,MAQ01037_frame_220_mask.jpg
MAQ01037_frame_240.jpg,1,51,52,2,0,0.0,0.0,1,0.514583,0.714063,1,0.270833,0.473438,1,0.429167,0.75625,1,0.5875,0.054688,1,0.9,0.357812,1,0.477083,0.057813,1,0.804167,0.373437,MAQ01037_frame_240_mask.jpg
MAQ01037_frame_260.jpg,1,51,52,2,0,0.0,0.0,1,0.44375,0.771875,1,0.214583,0.53125,1,0.35625,0.815625,1,0.520833,0.15,1,0.797917,0.457813,1,0.410417,0.15625,1,0.697917,0.48125,MAQ01037_frame_260_mask.jpg
MAQ01037_frame_280.jpg,1,51,52,2,0,0.0,0.0,0,0.0,0.0,1,0.245833,0.526563,1,0.370833,0.809375,1,0.616667,0.232813,1,0.84375,0.573438,1,0.51875,0.242188,1,0.758333,0.598437,MAQ01037_frame_280_mask.jpg
MAQ01037_frame_300.jpg,1,51,52,2,1,0.395833,0.445312,0,0.0,0.0,1,0.325,0.473438,1,0.354167,0.75,1,0.779167,0.407813,1,0.83125,0.771875,1,0.691667,0.428125,1,0.75625,0.814063,MAQ01037_frame_300_mask.jpg
MAQ01037_frame_320.jpg,1,51,52,2,1,0.333333,0.198437,0,0.0,0.0,1,0.24375,0.217188,1,0.16875,0.4875,1,0.714583,0.353125,1,0.5875,0.667188,1,0.614583,0.370312,1,0.5,0.698438,MAQ01037_frame_320_mask.jpg
MAQ01037_frame_340.jpg,1,51,52,2,1,0.329167,0.2375,0,0.0,0.0,1,0.233333,0.246875,1,0.08541699999999999,0.471875,1,0.63125,0.554688,1,0.40625,0.767188,1,0.529167,0.56875,1,0.325,0.792188,MAQ01037_frame_340_mask.jpg
MAQ01037_frame_360.jpg,1,51,52,2,1,0.45,0.198437,0,0.0,0.0,1,0.345833,0.207813,1,0.175,0.423438,1,0.733333,0.564063,1,0.48125,0.74375,1,0.625,0.579688,1,0.395833,0.771875,MAQ01037_frame_360_mask.jpg
MAQ01039_frame_0.jpg,1,50,52,3,0,0.0,0.0,1,0.35625,0.773438,1,0.1625,0.509375,1,0.289583,0.779687,1,0.53125,0.235937,1,0.760417,0.53125,1,0.45625,0.2125,1,0.697917,0.532813,MAQ01039_frame_0_mask.jpg
MAQ01039_frame_20.jpg,1,50,52,3,0,0.0,0.0,1,0.44375,0.729688,1,0.227083,0.490625,1,0.36875,0.735938,1,0.539583,0.17031300000000002,1,0.797917,0.410938,1,0.46875,0.14375,1,0.735417,0.401562,MAQ01039_frame_20_mask.jpg
MAQ01039_frame_40.jpg,1,50,52,3,0,0.0,0.0,1,0.408333,0.75,1,0.154167,0.542188,1,0.3125,0.753125,1,0.402083,0.15468800000000002,1,0.675,0.29375,1,0.3125,0.121875,1,0.589583,0.264062,MAQ01039_frame_40_mask.jpg
MAQ01039_frame_60.jpg,1,50,52,3,0,0.0,0.0,1,0.427083,0.79375,1,0.1625,0.610938,1,0.327083,0.795312,0,0.0,0.0,1,0.629167,0.285938,1,0.272917,0.176563,1,0.535417,0.253125,MAQ01039_frame_60_mask.jpg
MAQ01039_frame_80.jpg,1,50,52,3,0,0.0,0.0,1,0.402083,0.760938,1,0.14166700000000002,0.54375,1,0.310417,0.7625,1,0.402083,0.151562,1,0.689583,0.303125,1,0.3125,0.117188,1,0.608333,0.276562,MAQ01039_frame_80_mask.jpg
